Camera_number,Location,Apple_variety,Photos_number,Comment
1,Berle,Aroma,10981,
1,Berle,Discovery,9716,
1,Berle,Summerred,15325,Start 20 mai 09:00 (fjernet 136 bilder uten åpen blomst). 1 blomst åpen
2,Berle,Aroma,8744,
2,Berle,Discovery,10534,
2,Berle,Summerred,7964,1 blomst åpen
3,Berle,Aroma,7899,
3,Berle,Discovery,10787,
3,Berle,Summerred,11238,Start 18 mai 08:59 (fjernet 835 bilder uten åpen blomst). 1 blomst åpen
1,Hoyen,Aroma,2238,"Not enough cameras, therefore this one started late (after SR whithered)"
1,Hoyen,Discovery,11222,
1,Hoyen,Summerred,8890,"First photos without open flowers, started 18.05.23 08:58, removed 554 photos"
2,Hoyen,Aroma,16712,
2,Hoyen,Discovery,10185,
2,Hoyen,Summerred,7964,
3,Hoyen,Aroma,6114,
3,Hoyen,Discovery,10402,
3,Hoyen,Summerred,7472,"First photos without open flowers, started 21.05.23 09:01, removed 1417 photos"
1,Sando,Aroma,5457,Camera 1 and 3 in folder (but is all camera 1)
1,Sando,Discovery,7713,
1,Sando,Summerred,8876,"Not flowering at start, started 20.05.23 09:00, removed 1400 photos"
2,Sando,Aroma,9987,
