Camera_number,Cluster_number,Location,Apple_variety,Temperature,Date,Time,Taxanomic_group,Groups,On_flower,Comments,Comments_picture,Photo_s/s,Feil tid
1,1,Berle,Aroma,26,23.05.23,16:52:00,Honeybee,Apis,N,,,,
1,1,Berle,Aroma,23,23.05.23,17:54:00,Honeybee,Apis,N,,,,
1,1,Berle,Aroma,14,24.05.23,06:09:00,Fly,Diptera,N,,,,
1,1,Berle,Aroma,24,24.05.23,08:05:00,Unknown_bee,Unknown_bee,Y,,,,
1,1,Berle,Aroma,23,24.05.23,09:45:00,Honeybee,Apis,N,,,,
1,1,Berle,Aroma,21,24.05.23,10:39:00,Honeybee,Apis,N,,,,
1,2,Berle,Aroma,22,25.05.23,12:54:00,Unknown_bee,Unknown_bee,Y,,,,
1,2,Berle,Aroma,22,25.05.23,11:07:00,Unkown_bee,Unknown_bee,Y,,,,
1,2,Berle,Aroma,22,25.05.23,12:51:00,Honeybee,Apis,N,,,,
1,2,Berle,Aroma,22,25.05.23,12:59:00,Honeybee,Apis,Y,,,,
1,2,Berle,Aroma,22,25.05.23,13:24:00,Unknown_bee,Unknown_bee,Y,,,,
1,2,Berle,Aroma,23,25.05.23,13:36:00,Honeybee,Apis,Y,,,,
1,2,Berle,Aroma,24,25.05.23,13:55:00,Honeybee,Apis,Y,,,,
1,2,Berle,Aroma,24,25.05.23,14:01:00,Honeybee,Apis,Y,,,,
1,2,Berle,Aroma,24,25.05.23,14:19:00,Unknown_bee,Unknown_bee,Y,,,,
1,2,Berle,Aroma,24,25.05.23,14:22:00,Unknown_bee,Unknown_bee,Y,,,,
1,2,Berle,Aroma,25,25.05.23,14:59:00,Fly,Diptera,N,,,,
1,2,Berle,Aroma,27,25.05.23,15:55:00,Honeybee,Apis,N,,,,
1,2,Berle,Aroma,28,25.05.23,16:43:00,Honeybee,Apis,N,,,,
1,2,Berle,Aroma,28,25.05.23,16:44:00,Unknown_bee,Unknown_bee,Y,,,,
1,2,Berle,Aroma,28,25.05.23,16:45:00,Unknown_bee,Unknown_bee,Y,,,,
1,2,Berle,Aroma,28,25.05.23,17:09:00,Honeybee,Apis,N,,,,
1,2,Berle,Aroma,28,25.05.23,17:29:00,Fly,Diptera,N,,,,
1,2,Berle,Aroma,28,25.05.23,17:32:00,Other,Other,N,,,,
1,2,Berle,Aroma,27,25.05.23,17:46:00,Honeybee,Apis,Y,,,,
1,2,Berle,Aroma,22,26.05.23,09:02:00,Honeybee,Apis,Y,,,,
1,2,Berle,Aroma,22,26.05.23,11:05:00,Unknown_bee,Unknown_bee,N,,,,
1,2,Berle,Aroma,21,26.05.23,12:02:00,Honeybee,Apis,Y,,,,
1,2,Berle,Aroma,21,26.05.23,12:11:00,Honeybee,Apis,Y,,,,
1,2,Berle,Aroma,21,26.05.23,12:29:00,Honeybee,Apis,Y,,,,
1,2,Berle,Aroma,21,26.05.23,12:34:00,Honeybee,Apis,N,,,,
1,2,Berle,Aroma,21,26.05.23,12:45:00,Unknown_bee,Unknown_bee,Y,,,,
1,2,Berle,Aroma,21,26.05.23,12:52:00,Honeybee,Apis,Y,,,,
1,2,Berle,Aroma,21,26.05.23,12:52:00,Unknown_bee,Unknown_bee,Y,,,,
1,2,Berle,Aroma,22,26.05.23,12:59:00,Unknown_bee,Unknown_bee,N,,,,
1,2,Berle,Aroma,22,26.05.23,13:00:00,Unknown_bee,Unknown_bee,Y,,,,
1,2,Berle,Aroma,22,26.05.23,13:01:00,Unknown_bee,Unknown_bee,N,,,,
1,2,Berle,Aroma,22,26.05.23,13:21:00,Unknown_bee,Unknown_bee,Y,,,,
1,2,Berle,Aroma,23,26.05.23,14:16:00,Honeybee,Apis,Y,,,,
1,2,Berle,Aroma,24,26.05.23,14:37:00,Unknown_bee,Unknown_bee,Y,,,,
1,2,Berle,Aroma,24,26.05.23,14:37:00,Unknown_bee,Unknown_bee,N,,,,
1,2,Berle,Aroma,24,26.05.23,14:47:00,Honeybee,Apis,Y,,,,
1,2,Berle,Aroma,24,26.05.23,14:50:00,Honeybee,Apis,Y,,,,
1,2,Berle,Aroma,25,26.05.23,14:58:00,Honeybee,Apis,N,,,,
1,2,Berle,Aroma,26,26.05.23,15:12:00,Honeybee,Apis,N,,,,
1,2,Berle,Aroma,27,26.05.23,15:33:00,Solitary_bee,SolitaryBee,Y,,,,
1,2,Berle,Aroma,27,26.05.23,15:41:00,Honeybee,Apis,Y,,,,
1,2,Berle,Aroma,27,26.05.23,15:42:00,Honeybee,Apis,Y,,,,
1,2,Berle,Aroma,28,26.05.23,15:55:00,Honeybee,Apis,N,,,,
1,2,Berle,Aroma,29,26.05.23,16:08:00,Solitary_bee,SolitaryBee,Y,Only individual flower visits registered,,6635-6639 ,
1,2,Berle,Aroma,29,26.05.23,16:10:00,Solitary_bee,SolitaryBee,Y,Only individual flower visits registered,,,
1,2,Berle,Aroma,28,26.05.23,16:52:00,Honeybee,Apis,Y,,,,
1,2,Berle,Aroma,28,26.05.23,17:01:00,Unknown_bee,Unknown_bee,Y,,,,
1,2,Berle,Aroma,27,26.05.23,17:10:00,Honeybee,Apis,Y,,,,
1,2,Berle,Aroma,27,26.05.23,17:11:00,Unknown_bee,Unknown_bee,Y,,,,
1,2,Berle,Aroma,27,26.05.23,17:17:00,Honeybee,Apis,Y,,,,
1,2,Berle,Aroma,27,26.05.23,17:23:00,Unknown_bee,Unknown_bee,N,,,,
1,2,Berle,Aroma,26,26.05.23,17:33:00,Unknown_bee,Unknown_bee,Y,,,,
1,2,Berle,Aroma,26,26.05.23,17:40:00,Fly,Diptera,N,,,,
1,2,Berle,Aroma,26,26.05.23,17:44:00,Unknown_bee,Unknown_bee,Y,,,,
1,2,Berle,Aroma,25,26.05.23,17:50:00,Solitary_bee,SolitaryBee,Y,"One visit, but on two photos",,6737-6738,
1,2,Berle,Aroma,25,26.05.23,17:51:00,Unknown_bee,Unknown_bee,Y,Not sure if it is a bee,,,
1,2,Berle,Aroma,16,26.05.23,20:49:00,Fly,Diptera,N,,,6916-6917,
1,2,Berle,Aroma,7,27.05.23,03:52:00,Other,Other,N,,,7339-7340,
1,2,Berle,Aroma,7,27.05.23,03:57:00,Fly,Diptera,N,,,,
1,2,Berle,Aroma,7,27.05.23,04:15:00,Fly,Diptera,N,,,,
1,2,Berle,Aroma,6,27.05.23,04:20:00,Fly,Diptera,N,Several photos,,7367-7373,
1,2,Berle,Aroma,10,27.05.23,06:25:00,Other,Other,N,,,,
1,2,Berle,Aroma,14,27.05.23,08:08:00,Fly,Diptera,N,,,,
1,2,Berle,Aroma,17,27.05.23,08:48:00,Fly,Diptera,N,,,,
1,2,Berle,Aroma,21,27.05.23,09:23:00,Honeybee,Apis,Y,,,,
1,2,Berle,Aroma,22,27.05.23,09:52:00,Honeybee,Apis,Y,,,,
1,2,Berle,Aroma,22,27.05.23,09:52:00,Unknown_bee,Unknown_bee,Y,,,,
1,2,Berle,Aroma,21,27.05.23,09:57:00,Honeybee,Apis,Y,,,,
1,2,Berle,Aroma,21,27.05.23,10:27:00,Honeybee,Apis,Y,,,,
1,2,Berle,Aroma,21,27.05.23,10:33:00,Honeybee,Apis,N,,,,
1,2,Berle,Aroma,22,27.05.23,11:03:00,Honeybee,Apis,Y,,,,
1,2,Berle,Aroma,21,27.05.23,11:53:00,Honeybee,Apis,Y,,,,
1,2,Berle,Aroma,21,27.05.23,12:02:00,Fly,Diptera,N,,,,
1,2,Berle,Aroma,21,27.05.23,12:07:00,Honeybee,Apis,Y,,,,
1,2,Berle,Aroma,20,27.05.23,12:17:00,Honeybee,Apis,N,,,,
1,2,Berle,Aroma,20,27.05.23,12:17:00,Honeybee,Apis,Y,,,,
1,2,Berle,Aroma,21,27.05.23,12:37:00,Honeybee,Apis,Y,,,,
1,2,Berle,Aroma,21,27.05.23,12:51:00,Honeybee,Apis,Y,,,,
1,2,Berle,Aroma,21,27.05.23,13:07:00,Unknown_bee,Unknown_bee,Y,,,,
1,2,Berle,Aroma,21,27.05.23,13:23:00,Unknown_bee,Unknown_bee,Y,,,,
1,2,Berle,Aroma,21,27.05.23,13:31:00,Honeybee,Apis,Y,,,,
1,2,Berle,Aroma,22,27.05.23,13:52:00,Unknown_bee,Unknown_bee,Y,,,,
1,2,Berle,Aroma,22,27.05.23,13:57:00,Honeybee,Apis,Y,,,,
1,2,Berle,Aroma,22,27.05.23,14:22:00,Honeybee,Apis,Y,,,,
1,2,Berle,Aroma,22,27.05.23,14:23:00,Honeybee,Apis,Y,,,,
